i,tweet_id,full_text
0,330425562201993216,
1,326796299179548672,@MamzelleMNa Une très humble femme! #Ironie
2,334548844731826176,"BLOGUE - «Tsé, la parité homme-femme...» au sein de Vision Saint-Jérôme http://t.co/26ziyrXSYx #femmes #politique #ironie"
3,332500824150392833,
4,334424362033762304,
5,421708259716636672,Mise en ligne de mon article sur @PayeTaShnek pour @DeerMag soon ;) #payetashnek #tentativedeseductionenmilieuurbain #buyadeer #reading
6,420942263154249728,
7,707088385995890689,Hommage #journeedelafemme Toute sa vie elle a vendu des fleurs dans la rue. Elle a été pauvre aussi bien qu'un homme https://t.co/0mqD4e0dzs
8,955356819324657665,Lustre bois flotté feuilles exotiques bleues abat jour https://t.co/aCBlRgfxvq via @Etsy
9,955363354083766272,
10,955408486153715713,"#Paradiski c'est quoi ? 400 km de pistes vertes, bleues, rouges, noires et des snowparks pour les plus sportifs. Difficile de s'ennuyer les skis aux pieds ! C'est parti, direction #LaPlagne ! 🎿 https://t.co/LfF5HPyiIs https://t.co/a6jgDtvmE9"
11,955367160334946305,Mdrrr et avant  avec les tél chinois ça disait carrément ´´Vivre les dents bleues’´  kxptdrwzxvbdj😂😂😂😂 https://t.co/NHFLbQjF2j
12,955358330301681664,
13,955380267484622848,
14,955357419147878400,Boucles d'Oreilles Bohèmes Bronze Fleurs Gouttes Bleues https://t.co/oa7xD8N5Rt via @Etsy
15,955405555367055360,
16,955380056024649728,"Dans notre Club Alpes d’Azur de @SerreChe_FR on skie, on s’amuse mais surtout on mange bien #chef #food #Vacances https://t.co/Pl8i7V29g2"
17,955364522268741632,Collier plume bronze perle en papier artisanale collier perles bleues violettes chaine idée cadeau femme cadeau saint valentin cadeau fait main https://t.co/UxyQEqeFc0
18,954868960905834501,"#VivreEnsemble : Les footballeurs professionnels, de mauvais citoyens   #omerta #Sexisme #Harcèlement @melissa_plaza  @ouestfrance  https://t.co/83xMHR7CVV"
19,955000687162781696,
20,954995897087287297,@lau_devil Il en parle aussi dans les @lesinrocks https://t.co/nZ3LVMWsLn #Wikipedia #sexisme
21,955017638438109184,"#sexisme #clichés #Egalité #AccordEgalitéProfessionnelle
La ministre du travail veut ""réaliser le rattrapage salarial femmes-hommes"" - ladepeche.fr https://t.co/PKayWx5Rq9"
22,938206714175873024,
23,938175951787249666,"Dans le cadre de la levée de fonds, vous aurez la chance de gagner un paquet cadeau de produits de santé-beauté Vegan d'une valeur de 100$ ! Écrivez-nous en privé, on vous donne tous les détails!  #moiaussi #metoo https://t.co/APhEdhdaJZ Le tirage aura lieu le 10 décembre 2017 !"
24,938285156716171265,
25,938389967486836736,Le Time attribue le titre de personnalité de l'année 2017 à celles qui ont lancé le mouvement #metoo #moiaussi https://t.co/RAvXuFiq3n
26,938182679085961216,
27,938370610463494144,
28,938388997709221890,"Oh, les personnalités de l’année selon Time: celles dont les voix ont lancé le mouvement #MoiAussi #MeToo https://t.co/KfLJqUcm6J"
29,986489352514691072,
30,986516637728813056,
31,986372521300844549,
32,986626598748262400,
33,921792338862755840,
34,915928687589150722,"VIDEO. Racisme en politique : la colère de Christiane Taubira dans ""Complément d'enquête"" https://t.co/FgkG5FAW2z https://t.co/ewSj2NpLyw"
35,916212409748115458,"Video: Enervée par des propos racistes, Christiane Taubira met fin à l'interview de Compléments d'enquete
 https://t.co/eMbge7XsBx https://t.co/nzqyDjbm2d"
36,916324223194488832,"#PJLTerrorisme : ""La sécurité n’est pas la première des libertés"" Interview exclusive de Christiane Taubira https://t.co/w8ZChtHy4B https://t.co/VFzygMH0TU"
37,918515284725596161,"Christiane Taubira : ""Il y a un lien intrinsèque entre les racines et les ruptures de vie"" https://t.co/ToBnCj3E5F https://t.co/IKCkRSjYCL"
38,916234131352244224,
39,917344171865837568,"Christiane Taubira : « Chaque fois qu’on a restreint les libertés, on n’a pas su les rétablir » 
#PJLTerrorisme
https://t.co/dTvu2UcyKo"
40,915956748929945601,"VIDÉO. Racisme en politique : en colère, Christiane #Taubira met fin à une interview. #Cdenquete https://t.co/nNXWNPVAOT https://t.co/mLygISmW6T"
41,958054639764520960,"Une pétition féministe demande à Edouard Philippe de mettre fin aux fonctions du ministre Gérald Darmanin, visé par une enquête préliminaire pour viol  https://t.co/2t7VEOZdCp #AFP https://t.co/0bHSK3Knd0"
42,958056037227073537,"1/5 Demain c'est le jour du budget provincial 2018-2019 ! Voici ce qu’on surveille :
- Le @rfeministeNB porte une attention particulière à l’analyse inclusive selon le genre (AIG) ... #polinb"
43,950463901015183360,Mais d'où tu discutes avec une vieille femme qui t'observe par la fenêtre de la cuisine et qui a l'air timbrée ?
44,488744043946729472,
45,500558476234743809,
46,492372887484239873,Je suis vraiment le genre de fille qui marque les esprits. #ironie
